media_id,recipe_order,compound,compound_id,amount,unit,g_l,optional,condition,mmol_l,solution,solution_id,attribute,medium,complex_compound
554,3,Yeast extract,16,5,g,5,0,NA,NA,NA,NA,NA,N-Z-AMINE-MEDIUM,1
554,4,N-Z amine,1608,5,g,5,0,NA,NA,NA,NA,NA,N-Z-AMINE-MEDIUM,1
554,5,CaCO3,13,1,g,1,0,NA,9.99101,NA,NA,NA,N-Z-AMINE-MEDIUM,0
554,6,Agar,3,20,g,20,0,NA,NA,NA,NA,NA,N-Z-AMINE-MEDIUM,1
554,7,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,N-Z-AMINE-MEDIUM,0
555,1,Yeast extract,16,1,g,1,0,NA,NA,NA,NA,NA,SPORULATION-AGAR (SA),1
555,2,Beef extract,85,1,g,1,0,NA,NA,NA,NA,NA,SPORULATION-AGAR (SA),1
555,3,Tryptone peptone,164,2,g,2,0,NA,NA,NA,NA,NA,SPORULATION-AGAR (SA),1
555,4,FeSO4,595,NA,NA,NA,0,NA,NA,NA,NA,NA,SPORULATION-AGAR (SA),0
555,5,Glucose,5,10,g,10,0,NA,55.5062,NA,NA,NA,SPORULATION-AGAR (SA),0
555,6,Agar,3,20,g,15,0,NA,44.5991,NA,NA,NA,SPORULATION-AGAR (SA),1
555,7,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,SPORULATION-AGAR (SA),0
636,1,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,Difco,ISP MEDIUM 2 WITH 5% NaCl,1
636,2,Malt extract,116,10,g,10,0,NA,NA,NA,NA,Difco,ISP MEDIUM 2 WITH 5% NaCl,1
636,3,Dextrose,60,4,g,4,0,NA,20.1847,NA,NA,Difco,ISP MEDIUM 2 WITH 5% NaCl,0
636,4,Agar,3,20,g,20,0,NA,59.4654,NA,NA,NA,ISP MEDIUM 2 WITH 5% NaCl,1
636,5,NaCl,43,50,g,50,0,NA,855.578,NA,NA,5 %,ISP MEDIUM 2 WITH 5% NaCl,0
636,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,ISP MEDIUM 2 WITH 5% NaCl,0
656,1,Starch,199,15,g,15,0,NA,NA,NA,NA,soluble,YEAST-STARCH-AGAR(B),1
656,2,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,Bacto,YEAST-STARCH-AGAR(B),1
656,3,K2HPO4,10,0.5,g,0.5,0,NA,2.87066,NA,NA,NA,YEAST-STARCH-AGAR(B),0
656,4,MgSO4 x 7 H2O,8,0.5,g,0.5,0,NA,2.02859,NA,NA,NA,YEAST-STARCH-AGAR(B),0
656,5,Agar,3,20,g,15,0,NA,44.5991,NA,NA,NA,YEAST-STARCH-AGAR(B),1
656,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,YEAST-STARCH-AGAR(B),0
657,1,Dry cow-manure,2131,50,g,50,0,NA,NA,NA,NA,NA,COW MANURE AGAR,1
657,2,Tap water,322,1000,ml,NA,0,NA,NA,NA,NA,NA,COW MANURE AGAR,0
657,3,Agar,3,20,g,20,0,NA,59.4654,NA,NA,NA,COW MANURE AGAR,1
693,1,Columbia agar base,2110,1000,ml,NA,0,NA,NA,NA,NA,NA,COLUMBIA BLOOD MEDIUM,1
693,2,Defibrinated sheep blood,1717,5,%,50,0,NA,NA,NA,NA,NA,COLUMBIA BLOOD MEDIUM,1
871,1,Glucose,5,4,g,4,0,NA,22.2025,NA,NA,NA,GYM + SEAWATER,0
871,2,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,NA,GYM + SEAWATER,1
871,3,Malt extract,116,10,g,10,0,NA,NA,NA,NA,NA,GYM + SEAWATER,1
871,4,CaCO3,13,2,g,2,0,NA,19.982,NA,NA,NA,GYM + SEAWATER,0
871,5,Agar,3,20,g,15,0,NA,44.5991,NA,NA,NA,GYM + SEAWATER,1
871,6,NA,NA,1000,ml,NA,0,NA,NA,Seawater,1801,NA,GYM + SEAWATER,NA
894,1,Lab-Lemco beef extract,599,10,g,10,0,NA,NA,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",1
894,2,Yeast extract,16,2,g,2,0,NA,NA,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",1
894,3,Glucose,5,10,g,10,0,NA,55.5062,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",0
894,4,Starch,199,100,mg,0.1,0,NA,NA,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",1
894,5,Tryptose,819,2,g,2,0,NA,NA,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",1
894,6,CaCO3,13,100,mg,0.1,0,NA,0.999101,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",0
894,7,CoCl2,692,NA,NA,NA,0,NA,NA,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",0
894,8,Ferric ammonium citrate,97,NA,NA,NA,0,NA,NA,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",0
894,9,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",1
894,10,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",0
987,1,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,Difco,ISP 2 MEDIUM,1
987,2,Malt extract,116,10,g,10,0,NA,NA,NA,NA,Difco,ISP 2 MEDIUM,1
987,3,Dextrose,60,4,g,4,0,NA,20.1847,NA,NA,Difco,ISP 2 MEDIUM,0
987,4,Agar,3,20,g,20,0,NA,NA,NA,NA,NA,ISP 2 MEDIUM,1
987,5,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,ISP 2 MEDIUM,0
993,1,L-Asparagine,829,1,g,1,0,NA,7.56888,NA,NA,anhydrous basis,ISP 5 MEDIUM,0
993,2,Glycerol,72,10,g,10,0,NA,108.589,NA,NA,NA,ISP 5 MEDIUM,0
993,3,K2HPO4,10,1,g,1,0,NA,5.74132,NA,NA,anhydrous basis,ISP 5 MEDIUM,0
993,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,ISP 5 MEDIUM,0
993,5,NA,NA,1,ml,NA,0,NA,NA,Trace element solution,147,NA,ISP 5 MEDIUM,NA
993,6,Agar,3,20,g,20,0,NA,59.4654,NA,NA,NA,ISP 5 MEDIUM,1
1027,1,Yeast extract,16,2,g,2,0,NA,NA,NA,NA,NA,YEAST STARCH AGAR (A),1
1027,2,Starch,199,10,g,10,0,NA,NA,NA,NA,soluble,YEAST STARCH AGAR (A),1
1027,3,Agar,3,20,g,15,0,NA,44.5991,NA,NA,NA,YEAST STARCH AGAR (A),1
1027,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,YEAST STARCH AGAR (A),0
1054,1,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,NA,A1-MEDIUM,1
1054,2,Bacto peptone,19,2,g,2,0,NA,NA,NA,NA,NA,A1-MEDIUM,1
1054,3,Starch,199,10,g,10,0,NA,NA,NA,NA,NA,A1-MEDIUM,1
1054,4,Sea water,286,1000,ml,NA,0,NA,NA,NA,NA,"natural or artificial, Biomaris 089 0.75 bottle",A1-MEDIUM,0
1054,5,Agar,3,20,g,20,0,NA,59.4654,NA,NA,NA,A1-MEDIUM,1
1081,1,Glucose,5,10,g,10,0,NA,55.5062,NA,NA,NA,HORIKOSHI-1 MEDIUM,0
1081,2,Polypeptone,442,5,g,5,0,NA,NA,NA,NA,NA,HORIKOSHI-1 MEDIUM,1
1081,3,Yeast extract,16,5,g,5,0,NA,NA,NA,NA,NA,HORIKOSHI-1 MEDIUM,1
1081,4,K2HPO4,10,1,g,1,0,NA,5.74132,NA,NA,NA,HORIKOSHI-1 MEDIUM,0
1081,5,MgSO4 x 7 H2O,8,0.2,g,0.2,0,NA,0.811438,NA,NA,NA,HORIKOSHI-1 MEDIUM,0
1081,6,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,HORIKOSHI-1 MEDIUM,1
1081,7,Distilled water,4,900,ml,NA,0,NA,NA,NA,NA,NA,HORIKOSHI-1 MEDIUM,0
1081,8,Na2CO3,32,100,ml,10,0,NA,94.3503,NA,NA,10 %,HORIKOSHI-1 MEDIUM,0
1269,1,Peptone,1,15,g,15,0,NA,NA,NA,NA,NA,ISP 6 MEDIUM,1
1269,2,Proteose peptone,208,5,g,5,0,NA,NA,NA,NA,NA,ISP 6 MEDIUM,1
1269,3,Ferric ammonium citrate,97,0.5,g,0.5,0,NA,NA,NA,NA,NA,ISP 6 MEDIUM,0
1269,4,Dipotassium Phosphate,940,1,g,1,0,NA,5.74132,NA,NA,NA,ISP 6 MEDIUM,0
1269,5,Sodium Thiosulfate,1126,0.08,g,0.08,0,NA,0.505977,NA,NA,NA,ISP 6 MEDIUM,0
1269,6,Yeast extract,16,1,g,1,0,NA,NA,NA,NA,NA,ISP 6 MEDIUM,1
1269,7,Agar,3,20,g,20,0,NA,59.4654,NA,NA,NA,ISP 6 MEDIUM,1
1269,8,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,ISP 6 MEDIUM,0
1274,1,Yeast extract,16,2,g,2,0,NA,NA,NA,NA,NA,YEAST EXTRACT-STARCH AGAR (50% MARINE WATER),1
1274,2,Starch,199,10,g,10,0,NA,NA,NA,NA,soluble,YEAST EXTRACT-STARCH AGAR (50% MARINE WATER),1
1274,3,Agar,3,15,g,15,0,NA,44.5991,NA,NA,NA,YEAST EXTRACT-STARCH AGAR (50% MARINE WATER),1
1274,4,Distilled water,4,500,ml,NA,0,NA,NA,NA,NA,NA,YEAST EXTRACT-STARCH AGAR (50% MARINE WATER),0
1274,5,Sea water,286,500,ml,NA,0,NA,NA,NA,NA,artificial,YEAST EXTRACT-STARCH AGAR (50% MARINE WATER),0
1619,1,ISP 7 Medium,1467,23.74,g,23.74,0,NA,NA,NA,NA,Himedia,ISP 7 MEDIUM,0
1619,2,Glycerol,72,15,ml,NA,0,NA,NA,NA,NA,NA,ISP 7 MEDIUM,0
1619,3,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,ISP 7 MEDIUM,0
1763,1,Glucose,5,10,g,10,0,NA,55.5062,NA,NA,NA,Glucose Asparagine Agar,0
1763,2,L-Asparagine,829,0.5,g,0.5,0,NA,3.78444,NA,NA,NA,Glucose Asparagine Agar,0
1763,3,K2HPO4,10,0.5,g,0.5,0,NA,2.87066,NA,NA,NA,Glucose Asparagine Agar,0
1763,4,Agar,3,20,g,20,0,NA,NA,NA,NA,NA,Glucose Asparagine Agar,1
1763,5,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,Glucose Asparagine Agar,0
1765,1,Potato,1606,150,g,150,0,NA,NA,NA,NA,NA,Potato Carrot Agar,1
1765,2,Carrot,1612,30,g,30,0,NA,NA,NA,NA,NA,Potato Carrot Agar,1
1765,3,Agar,3,20,g,20,0,NA,NA,NA,NA,NA,Potato Carrot Agar,1
1765,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,Potato Carrot Agar,0
215b,1,Brain heart infusion,186,37,g,37,0,NA,NA,NA,NA,Difco,BHI MEDIUM WITH ADDITIONAL GLUCOSE,1
215b,2,Glucose,5,5,g,5,0,NA,27.7531,NA,NA,NA,BHI MEDIUM WITH ADDITIONAL GLUCOSE,0
215b,3,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,BHI MEDIUM WITH ADDITIONAL GLUCOSE,0
J104,1,Yeast extract,16,1,g,1,0,NA,NA,NA,NA,BD-Difco,SUCROSE-BENNETT'S AGAR,1
J104,2,Beef extract,85,1,g,1,0,NA,NA,NA,NA,BD-Difco,SUCROSE-BENNETT'S AGAR,1
